serial_no,region,dealer_name,state,city,location,phone,district,status,latitude,longitude,wall_number,painting_type,wall_tenure_months,rented_or_free,rent_amount,execution_date,remarks,plan_sqft,actual_sqft,size,source_file,source_sheet
1,North,Sharma Cement Store,Jammu,Vijayour,"Vijaypur , Jammu India",9796044009,,Done,32.558004,75.012066,Uaa@ 1 SharmaCementStore 14/01/2026,,,FREE,FREE,2026-01-14 00:00:00,,,150,15x10,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Sharma Cement Store,Jammu,Vijayour,"Vijaypur , Jammu India",9796044009,,Done,32.557586,75.011613,Uaa@ 2 SharmaCementStore 14/01/2026,,,Free,Free,2026-01-14 00:00:00,,,1300,100x13,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Sharma Cement Store,Jammu,Vijayour,"Vijaypur , Jammu India",9796044009,,Done,32.557986,75.012044,Uaa@ 3 SharmaCementStore 14/01/2026,,,free,free,2026-01-14 00:00:00,,,110,10x11,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,Sharma Cement Store,Jammu,Vijayour,"Vijaypur , Jammu India",9796044009,,Done,32.557726,75.011818,Uaa@ 4 SharmaCementStore 14/01/2026,,,Free,Free,2026-01-13 00:00:00,,,288,8x9x4,Bill no 145 Dealer WP (1).xlsx,Bill 145
5,North,Sharma Cement Store,Jammu,Vijayour,"Vijaypur , Jammu India",9796044009,,Done,32.557766,75.011838,Uaa@ 5 SharmaCementStore 14/01/2026,,,Free,Free,2026-01-14 00:00:00,,,312,26x12,Bill no 145 Dealer WP (1).xlsx,Bill 145
6,North,Sharma Cement Store,Jammu,Vijayour,"Vijaypur , Jammu India",9796044009,,Done,32.559044,75.012919,Uaa@ 6 SharmaCementStore 14/01/2026,,,Free,Free,2026-01-14 00:00:00,,,444,37x12,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Encore Const. & hw,Jammu,Udhampur,"Udhampur , Jammu , India",,,Done,32.902825,75.124724,Uaa@1_Encore Const. & hw_14/01/2026,,,,,2026-01-12 00:00:00,,,539,25x11+16x11 + 7x4 + 5x6x2,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Encore Const. & hw,Jammu,Udhampur,"Udhampur , Jammu , India",,,Done,32.902925,75.124776,Uaa@2_Encore Const. & hw_14/01/2026,,,Free,Free,2026-01-12 00:00:00,,,440,40x11,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Encore Const. & hw,Jammu,Udhampur,"Udhampur , Jammu , India",,,Done,32.902973,75.124963,Uaa@3_Encore Const. & hw_14/01/2026,,,Free,Free,2026-01-12 00:00:00,,,228,38x6,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,Encore Const. & hw,Jammu,Udhampur,"Udhampur , Jammu , India",,,Done,32.901022,75.123424,Uaa@4_Encore Const. & hw_14/01/2026,,,Free,Free,2026-01-12 00:00:00,,,750,50x15,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,U J Enterprise,Jammu,Reasi,"Reasi , Jammu , India",,,Done,32.934735,74.984869,Uaa@ 1 U J Enterprise 12/01/2026,,,Free,Free,2026-01-12 00:00:00,,,1510,25x22 + 10x9 + 12x10 - 6x6 + 50x15 + 12x3,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,U J Enterprise,Jammu,Reasi,"Reasi , Jammu , India",,,Done,32.934645,74.984889,Uaa@ 2 U J Enterprise 12/01/2026,,,Free,Free,2026-01-12 00:00:00,,,90,10x9,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,U J Enterprise,Jammu,Reasi,"Reasi , Jammu , India",,,Done,32.934509,74.984863,Uaa@ 3 U J Enterprise 12/01/2026,,,Free,Free,2026-01-12 00:00:00,,,224,16x14,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,U J Enterprise,Jammu,Reasi,"Reasi , Jammu , India",,,Done,32.935113,74.984933,Uaa@ 4 U J Enterprise 12/01/2026,,,Free,Free,2026-01-12 00:00:00,,,878,32x12 + 38+13,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Standard Building Sol,Jammu,Reasi,"Reasi , Jammu , India",,,Done,33.018686,74.89122,Uaa@ 1 Standard Building Sol 10/01/2026,,,Free,Free,2026-01-10 00:00:00,,,1360,50x13 + 20x12.5 + 25x4 + 60x6,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Standard Building Sol,Jammu,Reasi,"Reasi , Jammu , India",,,Done,33.018733,74.891033,Uaa@ 2 Standard Building Sol 10/01/2026,,,Free,Free,2026-01-10 00:00:00,,,274,12x11 + 15x6 + 13x4,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Standard Building Sol,Jammu,Reasi,"Reasi , Jammu , India",,,Done,33.019453,74.881271,Uaa@ 3 Standard Building Sol 10/01/2026,,,Free,Free,2026-01-10 00:00:00,,,335,15x11 + 17x10,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,Standard Building Sol,Jammu,Reasi,"Reasi , Jammu , India",,,Done,33.019669,74.881314,Uaa@ 4 Standard Building Sol 10/01/2026,,,Free,Free,2026-01-10 00:00:00,,,635,15x11 +17x10 + 30x10,Bill no 145 Dealer WP (1).xlsx,Bill 145
5,North,Standard Building Sol,Jammu,Reasi,"Reasi , Jammu , India",,,Done,33.018786,74.885951,Uaa@ 5 Standard Building Sol 10/01/2026,,,Free,Free,2026-01-10 00:00:00,,,187,17x11,Bill no 145 Dealer WP (1).xlsx,Bill 145
6,North,Standard Building Sol,Jammu,Reasi,"Reasi , Jammu , India",,,Done,33.008419,74.897944,Uaa@ 6 Standard Building Sol 10/01/2026,,,Free,Free,2026-01-10 00:00:00,,,270,30x9,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.750616,74.844355,Uaa@ 1 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,477,25x5 + 20x17 + 6x2,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.750397,74.844491,Uaa@ 2 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,730,25x13 + 20x12 + 15x11,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.736296,74.823572,Uaa@ 3 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,640,20x12 + 28x12 + 8x5 + 8x3,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.736308,74.823529,Uaa@ 4 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,258,48x5 + 6x3,Bill no 145 Dealer WP (1).xlsx,Bill 145
5,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.736215,74.823574,Uaa@ 5 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,240,20x12,Bill no 145 Dealer WP (1).xlsx,Bill 145
6,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.736307,74.823482,Uaa@ 6 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,240,48x5,Bill no 145 Dealer WP (1).xlsx,Bill 145
7,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.750669,74.844455,Uaa@ 7 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,226,27x5 + 11x5 + 6x3x2,Bill no 145 Dealer WP (1).xlsx,Bill 145
8,North,Mangotra Builders,Jammu,Jammu,"Jammu , India",9018664606,,Done,32.750651,74.84449,Uaa@ 8 Mangotra Builders 08/01/2026,,,Free,Free,2026-01-08 00:00:00,,,160,32x5,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Aman Cement Store,Jammu,Jammu,"Jammu , India",9419194422,,Done,32.656703,74.907319,Uaa@ 1 Aman Cement Store 05/01/2026,,,Free,Free,2026-01-05 00:00:00,,,374,34x11,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Aman Cement Store,Jammu,Jammu,"Jammu , India",9419194422,,Done,32.656733,74.907367,Uaa@ 2 Aman Cement Store 05/01/2026,,,Free,Free,2026-01-05 00:00:00,,,672,56x12,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Aman Cement Store,Jammu,Jammu,"Jammu , India",9419194422,,Done,32.656873,74.907184,Uaa@ 3 Aman Cement Store 05/01/2026,,,Free,Free,2026-01-05 00:00:00,,,465,31x15,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,Aman Cement Store,Jammu,Jammu,"Jammu , India",9419194422,,Done,32.664508,74.879318,Uaa@ 4 Aman Cement Store 05/01/2026,,,Free,Free,2026-01-05 00:00:00,,,930,62x15,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Kunal Techspin P Ltd,Punjab,Dera Bassi,"Dera Bassi , Punjab",,,Done,30.587922,76.858898,Uaa@1 Kunal Techspin P Ltd  17/01/2026,,,Free,Free,2026-01-17 00:00:00,,,204,20x11 - 4x4,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Kunal Techspin P Ltd,Punjab,Dera Bassi,"Dera Bassi , Punjab",,,Done,30.58797,76.858892,Uaa@ 2 Kunal Techspin P Ltd  17/01/2026,,,Free,Free,2026-01-17 00:00:00,,,589,31x19,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Kunal Techspin P Ltd,Punjab,Dera Bassi,"Dera Bassi , Punjab",,,Done,30.587965,76.858905,Uaa@3 Kunal Techspin P Ltd  17/01/2026,,,Free,Free,2026-01-17 00:00:00,,,488,50x8 + 12x4 + 10x2x2,Bill no 145 Dealer WP (1).xlsx,Bill 145
4,North,Kunal Techspin P Ltd,Punjab,Dera Bassi,"Dera Bassi , Punjab",,,Done,30.587965,76.858905,Uaa@4 Kunal Techspin P Ltd  17/01/2026,,,Free,Free,2026-01-17 00:00:00,,,200,25x8,Bill no 145 Dealer WP (1).xlsx,Bill 145
1,North,Baba Traders,"Mohali , Punjab","Garib Niwas , Mulanpur","Garib Niwas , Mulanpur , Mohali , Punjab",,,Done,30.800714,76.747192,Uaa @ 1  Baba Traders 30/12/2025,,,Free,Free,2025-12-30 00:00:00,,,480,48x10,Bill no 145 Dealer WP (1).xlsx,Bill 145
2,North,Baba Traders,"Mohali , Punjab","Garib Niwas , Mulanpur","Garib Niwas , Mulanpur , Mohali , Punjab",,,Done,30.800821,76.747363,Uaa @ 2  Baba Traders 30/12/2025,,,Free,Free,2025-12-30 00:00:00,,,783,75x9  +12x9,Bill no 145 Dealer WP (1).xlsx,Bill 145
3,North,Baba Traders,"Mohali , Punjab","Garib Niwas , Mulanpur","Garib Niwas , Mulanpur , Mohali , Punjab",,,Done,30.800601,76.747677,Uaa @ 3  Baba Traders 30/12/2025,,,Free,Free,2025-12-30 00:00:00,,,768,96x8,Bill no 145 Dealer WP (1).xlsx,Bill 145
