serial_no,dealer_name,state,city_district,phone,address,gst_no,board_type,width,height,qty,sqft,rate,amount,source_file
1,KISAN TRADERS,,BIJNOR,8923442222,"Vill- Ganj , Near Pinjab National Bank,Bijnor",09EAMPK2840L1ZA,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
2,ARIHANT CEMENT STORE,,BIJNOR,9997034113,"OPP.Milan Talkies, Najibabad Road ,Kiratpur",09AFWPJ8179A1ZW,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
3,SHRI DURGA TRADERS,,SAHARANPUR,9760081414,"OPP, Vikas Bhawan Delhi Road Saharanpur",09CHBPM1808A1ZU,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
4,KARANWAL STEEL TRADERS,,SAHARANPUR,9917783787,Manglore Road Deoband,09CLQPS3497E1ZB,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
5,AMAR CEMENT STORE,,SAHARANPUR,9758026530,"Near Bus Stand ,Main Road Titro",09DFNPS2822M1ZQ,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
6,RUDRA ENTERPRISES,,PYRAYAGRAJ,9559178552,"83L/9EA-3,00,BHOLA KA PURA,UTTAR PRADESH-211011",09DAVPK7277M1ZH,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
7,LAXMI TRADERS,,HARDOI,9918678701,Sadar Bazar Behander  Kasimpur Sandila,09AVKPG6113H1ZM,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
8,Kshitij Enterprises,,VARANASI,9793840001,"A 6/176-R-B,Shankarpuram colony,akhta,benipur,sarnath,varanasi-221007",09CXJPS1804A1ZN,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
9,SHRI RANI SATI IRON SUPPLIERS,,Sitapur,9415084791,"Station road, Maal Godam ,Sitapur",09ADNPL2136J1ZB,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
10,S S Enterprises,,Ayodhya,6386120615,Bilari maafi near Vanshvanpur Bikapur Ayodhya,09CDUPP4079H1ZP,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
11,Amay Enterprises,,Lucknow,9415149742,Vibhuti Nagar Bilgram Chungi Hardoi,09BAWPS2813L2ZV,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
12,Dinesh Cement Agency,,Agra,9259595209,"Kukatai, Sadabad Agra Road, Hathras",09AQYPV5848H1ZN,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
13,Balaji Cement Agency,,Agra,9536413151,"Jain Nagar, Bah, Agra",09COOPS9664A1ZA,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
14,R S Building Material,,Agra,8077142593,"Plot No. 1, Khasra No. 538, Abhaypura, Dhanauli, Malpura, Agra",09BECPT2784K1ZV,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
15,Rathor Building Material,,Agra,9719161648,"Mayapura Kalal Kheria, Ftehabad Road, Agra",09AJIPR6812L1ZM,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
16,Bansal Steel,,Mathura,8859669728,"1 Atla Chungi, Mathura Road, Vrindavan, Mathura",09AAVPA2967M3ZX,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
17,Gopal Iron Store,,Moradabad,9837032980,"15,College Market,Galshaheed Road ,Moradabad,244001",09ABHPA6336K1Z4,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
18,R.N Enterprises,,Moradabad,9927113755,"Near Bank of India,Delhi Road Pakbara,MDB",09AUFPG1897E1ZI,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
19,ARVIND STEEL & CEMENT SUPPLIERS,,Bareilly,9837634393,"OPP,Surya Banquet Hall,Nainital Road, Koharapeer ,Bareilly",09ABIPK2966Q1ZT,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
20,BALAJI ENTERPRISES,,Bareilly,9412345626,"Bisalpur Road Harunnagla ,Bareilly",09AOYPK0021P1ZE,,10,4,,,,42,D2R NLB LIST UPDATED TILL JUNE 25 FINAL (1) (1) (1).xlsx
